;Bezeichnung Auftragskonto;IBAN Auftragskonto;BIC Auftragskonto;Bankname Auftragskonto;Name Zahlungsbeteiligter;IBAN Zahlungsbeteiligter;BIC (SWIFT-Code) Zahlungsbeteiligter;Verwendungszweck;Buchungstag;Valutadatum;Betrag;Buchungstext;Waehrung;Bemerkung;Kategorie;Steuerrelevant;Glaeubiger ID;Mandatsreferenz;Saldo nach Buchung
47;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-04-12;2024-04-12;-50.14;ABSCHLUSS;EUR;;;;;;29119.5
48;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-04-13;2024-04-13;2294.68;LOHN/GEHALT;EUR;;;;;;31414.18
49;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-04-18;2024-04-18;-195.02;DAUERAUFTRAG;EUR;;;;;;31219.16
50;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-04-19;2024-04-19;-246.03;ABSCHLUSS;EUR;;;;;;30973.13
51;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Miller Group;GB49WYRX68655688988967;WMFO11104839527494;Executive production military game management walk here around.;2024-04-21;2024-04-21;-132.42;Auszahlung girocard;EUR;;;;;;30840.71
52;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-04-22;2024-04-22;-115.36;ABSCHLUSS;EUR;;;;;;30725.35
53;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-04-24;2024-04-24;-71.81;ABSCHLUSS;EUR;;;;;;30653.54
54;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-04-24;2024-04-24;-127.53;DAUERAUFTRAG;EUR;;;;;;30526.01
55;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Karen Myers;GB42DDEE17518013256496;VZJU57315034685874;Spring report carry hotel loss amount according.;2024-04-24;2024-04-24;-134.4;Aufladung Mobilfunkguthaben;EUR;;;;;;30391.61
56;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-04-28;2024-04-28;-351.81;DAUERAUFTRAG;EUR;;;;;;30039.8
57;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-05-01;2024-05-01;-184.81;DAUERAUFTRAG;EUR;;;;;;29854.989999999998
58;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-05-05;2024-05-05;-379.7;ABSCHLUSS;EUR;;;;;;29475.29
59;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-05-07;2024-05-07;-147.26;DAUERAUFTRAG;EUR;;;;;;29328.03
60;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-05-11;2024-05-11;-59.81;DAUERAUFTRAG;EUR;;;;;;29268.22
61;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Michelle Rice;GB43ZPPD88243156485683;TPVV75781871132952;Upon resource total coach win across others TV.;2024-05-12;2024-05-12;-147.63;LASTSCHRIFT;EUR;;;;;;29120.59
62;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-05-12;2024-05-12;-50.14;ABSCHLUSS;EUR;;;;;;29070.45
63;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-05-13;2024-05-13;2294.68;LOHN/GEHALT;EUR;;;;;;31365.13
64;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Melissa Martin;GB37YCKK98801497857630;ENMZ86495816204608;Huge may cell imagine.;2024-05-17;2024-05-17;-26.83;SEPA-UEBERWEISUNG;EUR;;;;;;31338.3
65;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-05-18;2024-05-18;-195.02;DAUERAUFTRAG;EUR;;;;;;31143.28
66;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-05-19;2024-05-19;-246.03;ABSCHLUSS;EUR;;;;;;30897.25
67;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Morales, Diaz and Wilson;GB61LIJC75634256520100;TCZR64093238272944;According relate morning position half current fact.;2024-05-19;2024-05-19;-369.66;SEPA-UEBERWEISUNG;EUR;;;;;;30527.59
68;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Chang and Sons;GB76GBNM53648465928144;NMSI81643496057372;Trouble thousand time forward.;2024-05-22;2024-05-22;-74.85;LASTSCHRIFT;EUR;;;;;;30452.739999999998
69;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-05-22;2024-05-22;-115.36;ABSCHLUSS;EUR;;;;;;30337.38
70;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-05-24;2024-05-24;-127.53;DAUERAUFTRAG;EUR;;;;;;30209.85
71;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-05-24;2024-05-24;-71.81;ABSCHLUSS;EUR;;;;;;30138.04
72;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Louis Baker;GB55BMZC72143693650832;GKQJ55389882409514;Network animal talk simply page.;2024-05-26;2024-05-26;-139.81;Auszahlung girocard;EUR;;;;;;29998.23
73;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-05-28;2024-05-28;-351.81;DAUERAUFTRAG;EUR;;;;;;29646.42
74;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Amy Riley;GB50YYFZ33231044832099;JMKX73228672522775;Style grow eight carry carry.;2024-05-30;2024-05-30;-98.71;LASTSCHRIFT;EUR;;;;;;29547.71
75;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-06-01;2024-06-01;-184.81;DAUERAUFTRAG;EUR;;;;;;29362.899999999998
76;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Arnold-Lawrence;GB89PEAD91436481302063;UJBQ36211206666368;Environment fear either plant.;2024-06-02;2024-06-02;-289.4;Aufladung Mobilfunkguthaben;EUR;;;;;;29073.5
77;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Moore-Cole;GB11RWNW48047844706091;UGQN35412707232440;Picture firm necessary bill stand federal performance five.;2024-06-05;2024-06-05;2410.75;EINZAHLUNG;EUR;;;;;;31484.25
78;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-06-05;2024-06-05;-379.7;ABSCHLUSS;EUR;;;;;;31104.55
79;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-06-07;2024-06-07;-147.26;DAUERAUFTRAG;EUR;;;;;;30957.29
80;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-06-11;2024-06-11;-59.81;DAUERAUFTRAG;EUR;;;;;;30897.48
81;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-06-12;2024-06-12;-50.14;ABSCHLUSS;EUR;;;;;;30847.34
82;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-06-13;2024-06-13;2294.68;LOHN/GEHALT;EUR;;;;;;33142.02
83;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-06-18;2024-06-18;-195.02;DAUERAUFTRAG;EUR;;;;;;32947.0
84;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-06-19;2024-06-19;-246.03;ABSCHLUSS;EUR;;;;;;32700.97
85;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Daniel Obrien;GB59UEXD51811170366359;KBBN86737978589594;Water area all bed.;2024-06-21;2024-06-21;-65.78;Aufladung Mobilfunkguthaben;EUR;;;;;;32635.19
86;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Laura Erickson;GB35PUEM87964944252494;HJFE99704650508039;Whatever place free crime.;2024-06-22;2024-06-22;-231.82;Kartenzahlung V PAY;EUR;;;;;;32403.37
87;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-06-22;2024-06-22;-115.36;ABSCHLUSS;EUR;;;;;;32288.01
88;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-06-24;2024-06-24;-71.81;ABSCHLUSS;EUR;;;;;;32216.199999999997
89;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-06-24;2024-06-24;-127.53;DAUERAUFTRAG;EUR;;;;;;32088.67
90;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-06-28;2024-06-28;-351.81;DAUERAUFTRAG;EUR;;;;;;31736.86
91;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-07-01;2024-07-01;-184.81;DAUERAUFTRAG;EUR;;;;;;31552.05
92;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jeffery Brown;GB83EUFY00900457245511;BSYV75469993902286;Receive visit blue free.;2024-07-01;2024-07-01;-14.51;LASTSCHRIFT;EUR;;;;;;31537.539999999997
93;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Key Inc;GB04OMVY00591295169235;GTAD63500292776038;Produce foreign expert attorney rise American.;2024-07-05;2024-07-05;-379.7;ABSCHLUSS;EUR;;;;;;31157.84
94;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Lisa Hill;GB98JUUX14258051007884;AZBD75325200718314;Imagine cut safe color process on be.;2024-07-07;2024-07-07;-147.26;DAUERAUFTRAG;EUR;;;;;;31010.579999999998
95;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Roberson;GB86SRTT70515609915393;LQWY69700714652730;Main out loss lose knowledge room save.;2024-07-11;2024-07-11;-59.81;DAUERAUFTRAG;EUR;;;;;;30950.77
96;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Parks, Rivera and Bautista;GB51JSGQ41893585574189;SRDH45206003258568;Performance attention most stuff read trial senior.;2024-07-12;2024-07-12;-142.24;Kartenzahlung girocard;EUR;;;;;;30808.53
97;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Jennifer Mcclain;GB79JXDO19499572398065;KBLS47370071951345;My gun right contain sign.;2024-07-12;2024-07-12;-50.14;ABSCHLUSS;EUR;;;;;;30758.39
98;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Underwood Ltd;GB45CBNL57260711157942;TEEG64089898663375;Value learn cold final.;2024-07-13;2024-07-13;2294.68;LOHN/GEHALT;EUR;;;;;;33053.07
99;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Wright-Haley;GB65CCKJ90010174342191;DYYY59054277916717;Those camera green ability task animal chance step.;2024-07-13;2024-07-13;-255.95;Aufladung Mobilfunkguthaben;EUR;;;;;;32797.119999999995
100;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Johnson, Armstrong and Rogers;GB90RKXG18314011048959;VUNT06713155565102;Inside fire my.;2024-07-18;2024-07-18;-195.02;DAUERAUFTRAG;EUR;;;;;;32602.1
101;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Roberts-Ross;GB79EJSS49633693485532;KIGQ34919970136095;Health first health I walk.;2024-07-19;2024-07-19;-246.03;ABSCHLUSS;EUR;;;;;;32356.07
102;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Luis Hicks;GB31DBDB28858397329675;YQRT22209378850329;Movement certainly significant to without I.;2024-07-22;2024-07-22;-260.38;Auszahlung girocard;EUR;;;;;;32095.69
103;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Harvey-Booth;GB51CSXN95890678261885;USQR38161582159741;Tv among maybe pull.;2024-07-22;2024-07-22;-115.36;ABSCHLUSS;EUR;;;;;;31980.329999999998
104;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Emily Powell;GB63NVJI92795382069792;HMJL69435875128426;Themselves Congress much similar appear drop.;2024-07-24;2024-07-24;-127.53;DAUERAUFTRAG;EUR;;;;;;31852.8
105;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Adams, Walker and Jones;GB60DSOV30707801799689;HBVF27148426584797;Drive question we follow.;2024-07-24;2024-07-24;-71.81;ABSCHLUSS;EUR;;;;;;31780.989999999998
106;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Wyatt-Brock;GB75WWGT82554870870603;DUJF48692471813571;Human brother tree specific.;2024-07-24;2024-07-24;-151.07;SEPA-UEBERWEISUNG;EUR;;;;;;31629.92
107;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Brian Contreras;GB69OVYM85148454554764;YQVN28684987986273;Man board discover likely study case air.;2024-07-26;2024-07-26;-213.72;Auszahlung girocard;EUR;;;;;;31416.199999999997
108;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Teresa Garcia;GB67IUGL12942571163040;HQCZ54719416316378;Line catch answer close certain national research.;2024-07-28;2024-07-28;-351.81;DAUERAUFTRAG;EUR;;;;;;31064.39
109;Girokonto;GB87YODA19011530005979;OECF10873187191890;RBPN;Andrew Myers;GB25CZXL23186024805804;XQAB67042397904377;Tree red present pick paper.;2024-08-01;2024-08-01;-184.81;DAUERAUFTRAG;EUR;;;;;;30879.579999999998
