,Bezeichnung Auftragskonto,IBAN Auftragskonto,BIC Auftragskonto,Bankname Auftragskonto,Name Zahlungsbeteiligter,IBAN Zahlungsbeteiligter,BIC (SWIFT-Code) Zahlungsbeteiligter,Verwendungszweck,Buchungstag,Valutadatum,Betrag,Buchungstext,Waehrung,Bemerkung,Kategorie,Steuerrelevant,Glaeubiger ID,Mandatsreferenz,Saldo nach Buchung
10,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-01-19,2024-01-19,-186.21,ABSCHLUSS,EUR,,,,,,33128.46
11,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-01-28,2024-01-28,-223.96,ABSCHLUSS,EUR,,,,,,32904.5
12,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-01-28,2024-01-28,-13.98,ABSCHLUSS,EUR,,,,,,32890.52
13,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Raymond Zavala,GB15CCXJ62429302228692,NUPF98015442717803,Baby nature already including seat.,2024-02-01,2024-02-01,-306.46,Kartenzahlung girocard,EUR,,,,,,32584.059999999998
14,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-02-05,2024-02-05,-219.09,ABSCHLUSS,EUR,,,,,,32364.97
15,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-02-07,2024-02-07,-253.65,ABSCHLUSS,EUR,,,,,,32111.32
16,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-02-07,2024-02-07,-92.55,ABSCHLUSS,EUR,,,,,,32018.77
17,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-02-09,2024-02-09,2082.43,LOHN/GEHALT,EUR,,,,,,34101.2
18,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Jones, Evans and Duran",GB67ESML46381310928833,QVIC23874398105986,Within official could seek beautiful.,2024-02-10,2024-02-10,-14.96,Aufladung Mobilfunkguthaben,EUR,,,,,,34086.24
19,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-02-12,2024-02-12,-283.76,ABSCHLUSS,EUR,,,,,,33802.479999999996
20,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-02-13,2024-02-13,-125.67,DAUERAUFTRAG,EUR,,,,,,33676.81
21,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-02-17,2024-02-17,-294.46,ABSCHLUSS,EUR,,,,,,33382.35
22,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-02-19,2024-02-19,-186.21,ABSCHLUSS,EUR,,,,,,33196.14
23,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-02-19,2024-02-19,-73.16,DAUERAUFTRAG,EUR,,,,,,33122.979999999996
24,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Henry Butler,GB79EJSS49633693485532,KIGQ34919970136095,Health first health I walk.,2024-02-19,2024-02-19,-257.31,Aufladung Mobilfunkguthaben,EUR,,,,,,32865.67
25,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-02-19,2024-02-19,2647.74,LOHN/GEHALT,EUR,,,,,,35513.409999999996
26,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-02-28,2024-02-28,-13.98,ABSCHLUSS,EUR,,,,,,35499.43
27,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-02-28,2024-02-28,-223.96,ABSCHLUSS,EUR,,,,,,35275.47
28,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-03-05,2024-03-05,-219.09,ABSCHLUSS,EUR,,,,,,35056.38
29,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-03-07,2024-03-07,-253.65,ABSCHLUSS,EUR,,,,,,34802.729999999996
30,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-03-07,2024-03-07,-92.55,ABSCHLUSS,EUR,,,,,,34710.18
31,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-03-09,2024-03-09,2082.43,LOHN/GEHALT,EUR,,,,,,36792.61
32,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-03-12,2024-03-12,-283.76,ABSCHLUSS,EUR,,,,,,36508.85
33,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-03-13,2024-03-13,-125.67,DAUERAUFTRAG,EUR,,,,,,36383.18
34,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-03-17,2024-03-17,-294.46,ABSCHLUSS,EUR,,,,,,36088.72
35,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-03-19,2024-03-19,-73.16,DAUERAUFTRAG,EUR,,,,,,36015.56
36,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-03-19,2024-03-19,-186.21,ABSCHLUSS,EUR,,,,,,35829.35
37,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-03-19,2024-03-19,2647.74,LOHN/GEHALT,EUR,,,,,,38477.09
38,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-03-28,2024-03-28,-223.96,ABSCHLUSS,EUR,,,,,,38253.13
39,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-03-28,2024-03-28,-13.98,ABSCHLUSS,EUR,,,,,,38239.15
40,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-04-05,2024-04-05,-219.09,ABSCHLUSS,EUR,,,,,,38020.06
41,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Key Inc,GB04OMVY00591295169235,GTAD63500292776038,Produce foreign expert attorney rise American.,2024-04-05,2024-04-05,-96.43,LASTSCHRIFT,EUR,,,,,,37923.63
42,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Collins LLC,GB24XUML14456210338092,DNYU78595969064599,Wind hot laugh stand ever way few.,2024-04-06,2024-04-06,-107.74,LASTSCHRIFT,EUR,,,,,,37815.89
43,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-04-07,2024-04-07,-92.55,ABSCHLUSS,EUR,,,,,,37723.34
44,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-04-07,2024-04-07,-253.65,ABSCHLUSS,EUR,,,,,,37469.69
45,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-04-09,2024-04-09,2082.43,LOHN/GEHALT,EUR,,,,,,39552.119999999995
46,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-04-12,2024-04-12,-283.76,ABSCHLUSS,EUR,,,,,,39268.36
47,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-04-13,2024-04-13,-125.67,DAUERAUFTRAG,EUR,,,,,,39142.69
48,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-04-17,2024-04-17,-294.46,ABSCHLUSS,EUR,,,,,,38848.229999999996
49,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-04-19,2024-04-19,-73.16,DAUERAUFTRAG,EUR,,,,,,38775.07
50,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-04-19,2024-04-19,2647.74,LOHN/GEHALT,EUR,,,,,,41422.81
51,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-04-19,2024-04-19,-186.21,ABSCHLUSS,EUR,,,,,,41236.6
52,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Miller Group,GB49WYRX68655688988967,WMFO11104839527494,Executive production military game management walk here around.,2024-04-21,2024-04-21,-111.08,Kartenzahlung V PAY,EUR,,,,,,41125.520000000004
53,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Kaufman Inc,GB42DDEE17518013256496,VZJU57315034685874,Spring report carry hotel loss amount according.,2024-04-24,2024-04-24,-255.56,LASTSCHRIFT,EUR,,,,,,40869.96
54,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-04-28,2024-04-28,-223.96,ABSCHLUSS,EUR,,,,,,40646.0
55,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-04-28,2024-04-28,-13.98,ABSCHLUSS,EUR,,,,,,40632.020000000004
56,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-05-05,2024-05-05,-219.09,ABSCHLUSS,EUR,,,,,,40412.93
57,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-05-07,2024-05-07,-253.65,ABSCHLUSS,EUR,,,,,,40159.28
58,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-05-07,2024-05-07,-92.55,ABSCHLUSS,EUR,,,,,,40066.73
59,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-05-09,2024-05-09,2082.43,LOHN/GEHALT,EUR,,,,,,42149.16
60,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-05-12,2024-05-12,-283.76,ABSCHLUSS,EUR,,,,,,41865.4
61,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Vance-Watson,GB79JXDO19499572398065,KBLS47370071951345,My gun right contain sign.,2024-05-12,2024-05-12,-41.18,LASTSCHRIFT,EUR,,,,,,41824.22
62,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-05-13,2024-05-13,-125.67,DAUERAUFTRAG,EUR,,,,,,41698.55
63,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-05-17,2024-05-17,-294.46,ABSCHLUSS,EUR,,,,,,41404.090000000004
64,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-05-19,2024-05-19,-73.16,DAUERAUFTRAG,EUR,,,,,,41330.93000000001
65,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-05-19,2024-05-19,-186.21,ABSCHLUSS,EUR,,,,,,41144.72
66,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-05-19,2024-05-19,2647.74,LOHN/GEHALT,EUR,,,,,,43792.46000000001
67,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Chang and Sons,GB76GBNM53648465928144,NMSI81643496057372,Trouble thousand time forward.,2024-05-22,2024-05-22,-263.94,Aufladung Mobilfunkguthaben,EUR,,,,,,43528.520000000004
68,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ellis-Matthews,GB55BMZC72143693650832,GKQJ55389882409514,Network animal talk simply page.,2024-05-26,2024-05-26,-87.07,Kartenzahlung V PAY,EUR,,,,,,43441.450000000004
69,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-05-28,2024-05-28,-13.98,ABSCHLUSS,EUR,,,,,,43427.47
70,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-05-28,2024-05-28,-223.96,ABSCHLUSS,EUR,,,,,,43203.51000000001
71,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Torres-Sanders,GB50YYFZ33231044832099,JMKX73228672522775,Style grow eight carry carry.,2024-05-30,2024-05-30,-145.72,Kartenzahlung girocard,EUR,,,,,,43057.79000000001
72,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Arnold-Lawrence,GB89PEAD91436481302063,UJBQ36211206666368,Environment fear either plant.,2024-06-02,2024-06-02,-96.74,Kartenzahlung V PAY,EUR,,,,,,42961.05
73,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Moore-Cole,GB11RWNW48047844706091,UGQN35412707232440,Picture firm necessary bill stand federal performance five.,2024-06-05,2024-06-05,-180.92,LASTSCHRIFT,EUR,,,,,,42780.130000000005
74,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-06-05,2024-06-05,-219.09,ABSCHLUSS,EUR,,,,,,42561.04000000001
75,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-06-07,2024-06-07,-253.65,ABSCHLUSS,EUR,,,,,,42307.39000000001
76,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-06-07,2024-06-07,-92.55,ABSCHLUSS,EUR,,,,,,42214.84000000001
77,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-06-09,2024-06-09,2082.43,LOHN/GEHALT,EUR,,,,,,44297.270000000004
78,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-06-12,2024-06-12,-283.76,ABSCHLUSS,EUR,,,,,,44013.51000000001
79,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-06-13,2024-06-13,-125.67,DAUERAUFTRAG,EUR,,,,,,43887.84000000001
80,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-06-17,2024-06-17,-294.46,ABSCHLUSS,EUR,,,,,,43593.380000000005
81,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-06-19,2024-06-19,-186.21,ABSCHLUSS,EUR,,,,,,43407.17000000001
82,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-06-19,2024-06-19,-73.16,DAUERAUFTRAG,EUR,,,,,,43334.01000000001
83,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-06-19,2024-06-19,2647.74,LOHN/GEHALT,EUR,,,,,,45981.75000000001
84,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Daniel Obrien,GB59UEXD51811170366359,KBBN86737978589594,Water area all bed.,2024-06-21,2024-06-21,-213.76,Auszahlung girocard,EUR,,,,,,45767.990000000005
85,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Laura Erickson,GB35PUEM87964944252494,HJFE99704650508039,Whatever place free crime.,2024-06-22,2024-06-22,-93.59,Kartenzahlung V PAY,EUR,,,,,,45674.40000000001
86,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Harvey-Booth,GB51CSXN95890678261885,USQR38161582159741,Tv among maybe pull.,2024-06-22,2024-06-22,2211.25,GUTSCHRIFT,EUR,,,,,,47885.65000000001
87,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Adams, Walker and Jones",GB60DSOV30707801799689,HBVF27148426584797,Drive question we follow.,2024-06-24,2024-06-24,-88.13,Kartenzahlung V PAY,EUR,,,,,,47797.520000000004
88,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-06-28,2024-06-28,-13.98,ABSCHLUSS,EUR,,,,,,47783.54000000001
89,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-06-28,2024-06-28,-223.96,ABSCHLUSS,EUR,,,,,,47559.58000000001
90,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jeffery Brown,GB83EUFY00900457245511,BSYV75469993902286,Receive visit blue free.,2024-07-01,2024-07-01,-284.08,Kartenzahlung V PAY,EUR,,,,,,47275.50000000001
91,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-07-05,2024-07-05,-219.09,ABSCHLUSS,EUR,,,,,,47056.41
92,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Choi, Murphy and Parker",GB19KELZ79791584206109,POMR47764783051201,On bar entire various.,2024-07-07,2024-07-07,-92.55,ABSCHLUSS,EUR,,,,,,46963.86000000001
93,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-07-07,2024-07-07,-253.65,ABSCHLUSS,EUR,,,,,,46710.21000000001
94,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Matthew Martinez,GB93FHBU69779870102528,EZCP56216993130462,As coach remember rock for step save.,2024-07-09,2024-07-09,2082.43,LOHN/GEHALT,EUR,,,,,,48792.64000000001
95,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Flowers-Martinez,GB43ZPPD88243156485683,TPVV75781871132952,Upon resource total coach win across others TV.,2024-07-12,2024-07-12,-283.76,ABSCHLUSS,EUR,,,,,,48508.880000000005
96,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Parks, Rivera and Bautista",GB51JSGQ41893585574189,SRDH45206003258568,Performance attention most stuff read trial senior.,2024-07-12,2024-07-12,-185.41,Kartenzahlung girocard,EUR,,,,,,48323.47000000001
97,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Shannon Bryant,GB65CCKJ90010174342191,DYYY59054277916717,Those camera green ability task animal chance step.,2024-07-13,2024-07-13,-125.67,DAUERAUFTRAG,EUR,,,,,,48197.80000000001
98,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Melissa Martin,GB37YCKK98801497857630,ENMZ86495816204608,Huge may cell imagine.,2024-07-17,2024-07-17,-294.46,ABSCHLUSS,EUR,,,,,,47903.34000000001
99,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Jason Lozano,GB27CFGN20507642731285,HXRS62517348529090,Out with focus star stay story threat.,2024-07-19,2024-07-19,-186.21,ABSCHLUSS,EUR,,,,,,47717.13000000001
100,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Justin Newman,GB14UGOQ08105276201972,CRGE05182470640242,Safe mind just every sing indicate.,2024-07-19,2024-07-19,-73.16,DAUERAUFTRAG,EUR,,,,,,47643.970000000016
101,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,"Morales, Diaz and Wilson",GB61LIJC75634256520100,TCZR64093238272944,According relate morning position half current fact.,2024-07-19,2024-07-19,2647.74,LOHN/GEHALT,EUR,,,,,,50291.710000000014
102,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Luis Hicks,GB31DBDB28858397329675,YQRT22209378850329,Movement certainly significant to without I.,2024-07-22,2024-07-22,-108.48,Kartenzahlung girocard,EUR,,,,,,50183.23000000001
103,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Wyatt-Brock,GB75WWGT82554870870603,DUJF48692471813571,Human brother tree specific.,2024-07-24,2024-07-24,-265.88,SEPA-UEBERWEISUNG,EUR,,,,,,49917.35000000001
104,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Brian Contreras,GB69OVYM85148454554764,YQVN28684987986273,Man board discover likely study case air.,2024-07-26,2024-07-26,3134.6,EINZAHLUNG,EUR,,,,,,53051.95000000001
105,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Steven Rivers,GB84DWOE08782474840355,DRWR66037800396361,Bit doctor week build.,2024-07-28,2024-07-28,-13.98,ABSCHLUSS,EUR,,,,,,53037.970000000016
106,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Teresa Garcia,GB67IUGL12942571163040,HQCZ54719416316378,Line catch answer close certain national research.,2024-07-28,2024-07-28,-223.96,ABSCHLUSS,EUR,,,,,,52814.01000000001
107,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Michael Sampson,GB09MBPY82015357802342,QBTG89477213155141,Cost read cultural from voice concern city.,2024-08-05,2024-08-05,-219.09,ABSCHLUSS,EUR,,,,,,52594.92000000001
108,Girokonto,GB87YODA19011530005979,OECF10873187191890,RBPN,Ashley Stewart,GB30LIPU43896807588812,VWNK21811988757283,Recent stand wrong interest authority character.,2024-08-07,2024-08-07,-253.65,ABSCHLUSS,EUR,,,,,,52341.27000000001
